Sub_Area,price_list,built_year_list,floor_list,bedroom_list,bathroom_list,area_list,distance_to_transport_list,facilities_list
พร้อมพงษ์,4270000,2009.0,19.0,1,1,35.5,600.0,8.0
สุขุมวิท,6480000,2013.0,10.0,1,1,48.03,380.0,9.0
รามคำแหง,3900000,2017.0,4.0,2,1,54.0,1780.0,8.0
ลุมพินี,11340000,2008.0,20.0,1,1,87.0,190.0,4.0
สุรศักดิ์,18000000,2016.0,18.0,2,2,78.0,90.0,5.0
บางกะปิ,3050000,2016.0,20.0,1,1,32.0,1680.0,9.0
พร้อมพงษ์,9720000,2016.0,2.0,1,1,49.0,580.0,7.0
เสนานิคม,2400000,2011.0,4.0,1,1,39.0,690.0,5.0
สามเสนนอก,2613600,2014.0,4.0,1,1,35.0,1200.0,8.0
วงศ์สว่าง,2800000,2018.0,20.0,1,1,32.0,130.0,10.0
บางจาก,4900000,2018.0,15.0,1,1,34.48,180.0,10.0
ดินแดง,3990000,2010.0,20.0,1,1,33.0,550.0,4.0
บางค้อ,2090000,2015.0,22.0,1,1,27.0,530.0,10.0
พร้อมพงษ์,7490000,2009.0,2.0,1,1,51.0,590.0,7.0
บางกะปิ,2050000,2015.0,2.0,1,1,26.38,1280.0,8.0
บางอ้อ,2800000,2018.0,25.0,1,1,30.0,310.0,10.0
บางแคเหนือ,2990000,2015.0,25.0,1,1,30.0,80.0,5.0
กล้วยน้ำไท,2200000,2011.0,12.0,1,1,28.6,780.0,10.0
ทุ่งมหาเมฆ,12900000,2009.0,19.0,2,2,109.0,740.0,10.0
พร้อมพงษ์,11000000,2012.0,18.0,1,1,67.5,700.0,5.0
พร้อมพงษ์,22000000,2012.0,8.0,2,2,88.0,700.0,5.0
บางขุนศรี,5290000,2019.0,12.0,2,2,75.0,350.0,10.0
บางจาก,3290000,2017.0,8.0,1,1,32.0,710.0,10.0
ถนนนราธิวาสราชนครินทร์,65764750,2009.0,1.0,3,4,453.36,520.0,10.0
บางลำภูล่าง,4800000,2009.0,32.0,1,1,52.75,1170.0,10.0
ทองหล่อ,6000000,2017.0,24.0,1,1,33.0,350.0,10.0
ลาดยาว,2990000,2016.0,15.0,1,1,30.5,1590.0,10.0
จอมพล,5600000,2020.0,26.0,1,1,36.0,100.0,10.0
รัชโยธิน,2500000,2013.0,8.0,1,1,23.7,750.0,6.0
สุขุมวิท,7880000,2015.0,15.0,1,1,51.0,250.0,7.0
สวนหลวง,2300000,2018.0,32.0,1,1,23.0,330.0,10.0
บางกะปิ,3471200,2022.0,20.0,1,1,32.37,1950.0,10.0
พร้อมพงษ์,9790000,2009.0,10.0,1,1,53.0,330.0,7.0
สุขุมวิท,18300000,2004.0,29.0,2,2,110.0,400.0,7.0
แยกบางโพ,2500000,2014.0,18.0,1,1,30.0,480.0,8.0
รัชโยธิน,3000000,2011.0,5.0,1,1,28.0,160.0,10.0
สุขุมวิท,10100000,2021.0,39.0,2,1,45.5,1070.0,10.0
ทุ่งพญาไท,9190000,2022.0,29.0,1,1,47.0,390.0,7.0
สุขุมวิท,5200000,2014.0,11.0,1,1,35.0,180.0,10.0
ถนนจันทน์,3700000,1999.0,12.0,1,1,49.39,2110.0,8.0
พร้อมพงษ์,9300000,2014.0,6.0,2,2,68.0,510.0,5.0
บางกะปิ,5665000,2022.0,55.0,1,1,38.0,1440.0,10.0
ทองหล่อ,10500000,2017.0,10.0,1,1,49.0,350.0,10.0
วงศ์สว่าง,2990000,2018.0,10.0,1,1,31.75,130.0,10.0
บุคคโล,2750000,2017.0,12.0,1,1,24.0,370.0,8.0
จอมพล,2809000,2019.0,12.0,1,1,32.5,650.0,7.0
ทองหล่อ,2800000,2015.0,5.0,1,1,31.0,360.0,4.0
พร้อมพงษ์,6000000,2009.0,28.0,1,1,49.0,600.0,10.0
ห้วยขวาง,2950000,2010.0,15.0,1,1,34.0,660.0,10.0
รามคำแหง,2100000,2015.0,4.0,2,1,39.0,1870.0,9.0
คลองสาน,5500000,2021.0,14.0,1,1,48.0,1130.0,10.0
เสนานิคม,2300000,2014.0,5.0,1,1,33.0,1120.0,2.0
ลาดพร้าว,3200000,2016.0,7.0,2,1,45.0,2200.0,10.0
สามเสนนอก,2200000,2006.0,6.0,1,1,35.53,1350.0,10.0
ทองหล่อ,4900000,2011.0,4.0,1,1,40.0,1300.0,8.0
สุขุมวิท,7650000,2016.0,18.0,1,1,45.0,220.0,10.0
อารีย์,8885000,2022.0,17.0,1,1,34.7,160.0,10.0
บุคคโล,3000000,2017.0,7.0,1,1,30.5,370.0,6.0
ห้วยขวาง,2499000,2019.0,2.0,1,1,23.2,1010.0,10.0
พระราม 9,2490000,2012.0,17.0,1,1,38.0,430.0,8.0
พร้อมพงษ์,5200000,2014.0,4.0,1,1,35.0,400.0,7.0
ลาดยาว,7250000,2013.0,26.0,2,2,86.87,880.0,7.0
เตาปูน,2700000,2017.0,50.0,1,1,26.7,470.0,10.0
สวนหลวง,2190000,2015.0,4.0,1,1,26.0,370.0,7.0
สีลม,12200000,2022.0,16.0,1,1,45.5,490.0,10.0
ห้วยขวาง,7900000,2016.0,21.0,1,2,55.0,140.0,7.0
สวนหลวง,2190000,2015.0,4.0,1,1,26.0,370.0,7.0
ประดิพัทธ์,2350000,2008.0,10.0,1,1,29.3,470.0,8.0
เจริญผล,5500000,2011.0,8.0,1,1,41.24,180.0,7.0
บางจากภาษีเจริญ,2700000,2009.0,4.0,1,1,35.0,240.0,8.0
พระโขนงเหนือ,2550000,2013.0,9.0,1,1,30.0,870.0,10.0
เอกมัย,13900000,2011.0,11.0,2,1,87.0,260.0,6.0
ห้วยขวาง,3500000,2019.0,13.0,1,1,29.0,1010.0,10.0
ห้วยขวาง,6300000,2014.0,20.0,2,2,56.0,440.0,7.0
ห้วยขวาง,3500000,2019.0,13.0,1,1,29.0,1010.0,10.0
สามเสนใน,2500000,2018.0,4.0,1,1,28.0,1080.0,9.0
หลังสวน,23900000,2014.0,24.0,2,2,160.0,350.0,10.0
บางกะปิ,3190000,2015.0,19.0,1,1,40.0,1150.0,10.0
ตลาดพลู,2095000,2020.0,14.0,1,1,28.0,390.0,8.0
พระราม 9,7500000,2017.0,10.0,2,1,43.0,430.0,10.0
บางยี่ขัน,2390000,2009.0,10.0,1,1,35.5,820.0,8.0
ตลาดพลู,2751000,2021.0,29.0,1,1,23.72,250.0,10.0
พระราม 9,4425000,2020.0,11.0,1,1,34.0,360.0,10.0
